time_ps,Tar1,Tar2,Tar3,Tnp1_analytic,Tnp2_analytic,Tnp3_analytic
508.0,72.74617637578268,101.85384632957924,90.77048272407997,73.208959207904,102.0262426768127,90.91034506877946
509.0,72.73064576178618,101.79058556817986,90.84534101834961,73.19313325266366,101.96393437965706,90.98453475308615
510.0,72.71551792067095,101.72715909202378,90.92001091918506,73.17770603778689,101.90146046815818,91.05854011819308
511.0,72.70079220523455,101.663568475583,90.99449089718016,73.16267693026586,101.83882249429274,91.13235964123616
512.0,72.68646796283487,101.59981529642178,91.0687794327265,73.14804529172386,101.77602201317947,91.20599180905029
513.0,72.67254453538538,101.53590113512422,91.1428750159984,73.13381047841006,101.71306058300694,91.27943511815427
514.0,72.6590212593509,101.4718275752223,91.21677614693809,73.11997184119461,101.64993976496201,91.35268807473601
515.0,72.64589746574381,101.40759620312437,91.29048133524101,73.10652872556443,101.58666112315856,91.42574919463767
516.0,72.63317248012092,101.34320860804402,91.3639891003414,73.09348047161942,101.5232262245668,91.49861700334137
517.0,72.62084562258057,101.2786663819295,91.43729797139791,73.08082641406905,101.4596366389429,91.57129003595465
518.0,72.60891620776053,101.21397111939346,91.51040648727947,73.06856588222976,101.39589393875907,91.64376683719638
519.0,72.59738354483606,101.14912441764325,91.58331319655132,73.05669820002238,101.33199969913427,91.71604596138279
520.0,72.58624693751877,101.08412787641147,91.65601665746115,73.04522268597051,101.26795549776499,91.7881259724135
521.0,72.57550568405563,101.01898309788713,91.72851543792542,73.03413865319894,101.20376291485672,91.8600054437579
522.0,72.56515907722873,100.95369168664708,91.80080811551582,73.02344540943285,101.13942353305578,91.93168295844158
523.0,72.55520640435533,100.88825524958797,91.87289327744585,73.01314225699741,101.07493893738155,92.00315710903295
524.0,72.54564694728839,100.82267539585854,91.9447695205576,73.0032284928176,101.01031071515904,92.07442649762993
525.0,72.53647998241759,100.75695373679235,92.01643545130858,72.99370340841887,100.945540455952,92.1454897358468
526.0,72.5277047806708,100.69109188584096,92.08788968575877,72.9845662899279,100.88062975149639,92.21634544480132
